SummitCode,SummitName,Lat,Lon,AltM,DEM_AltM,abs_diff,dem_source
JA/SN-154,Near Kaneda,35.1484,132.9178,573.0,570.47,2.5299999999999727,5a
JA/SN-155,Imayama,35.1666,132.9445,552.0,550.12,1.8799999999999955,5a
JA/SN-156,Gongenyama,35.1996,133.05721,551.0,551.3,0.2999999999999545,5a
JA/SN-157,Toyagamaru,35.0378,132.63741,549.0,548.93,0.07000000000005002,5a
JA/SN-158,Keisan,35.0797,132.3911,544.0,543.96,0.03999999999996362,5a
JA/SN-159,JA/SN-159,35.2874,133.2886,541.0,539.03,1.9700000000000273,5a
JA/SN-160,Shihandayama,34.9323,132.5601,540.0,539.66,0.34000000000003183,10b
JA/SN-161,Senyama,35.0962,132.4377,537.0,537.2,0.20000000000004547,5a
JA/SN-162,Futatsuyama,34.866,132.5181,530.0,530.67,0.6699999999999591,5a
JA/SN-163,JA/SN-163,34.8783,132.4734,527.0,521.62,5.3799999999999955,10b
JA/SN-164,Tabirayama,34.9511,132.286,501.0,500.87,0.12999999999999545,5a
JA/SN-165,Sakatsujiyama,34.9774,132.3873,491.0,489.41,1.589999999999975,5a
JA/SN-167,JA/SN-167,34.3676,131.9035,490.0,486.98,3.019999999999982,5a
JA/SN-168,Mitsugoyama,35.234,132.6983,489.0,489.07,0.06999999999999318,5a
JA/SN-169,Oominesan,36.2243,133.25011,473.0,471.47,1.5299999999999727,5a
JA/SN-170,Tsujiyama,35.0668,132.37421,446.0,446.34,0.339999999999975,5a
JA/SN-171,Nagaseyama,34.8455,132.6655,442.0,441.15,0.8500000000000227,5a
JA/SN-172,Ozudera,34.9883,132.3744,442.0,437.8,4.199999999999989,5a
JA/SN-173,Yakumosan,35.3648,133.04961,424.0,423.4,0.6000000000000227,5a
JA/SN-174,Okuyama,35.0638,132.57291,420.0,416.93,3.069999999999993,5a
JA/SN-175,Motoyama,35.053,132.5365,420.0,418.72,1.2799999999999727,10b
JA/SN-176,JA/SN-176,34.5519,131.85539,416.0,410.85,5.149999999999977,5a
JA/SN-177,Kyougatani,35.3244,133.1848,396.0,395.55,0.44999999999998863,5a
JA/SN-178,Mukouyama,34.923,132.2903,373.0,372.51,0.4900000000000091,5a
JA/SN-179,Ootsujiyama,35.3447,133.18291,365.0,364.64,0.36000000000001364,5a
JA/SN-180,JA/SN-180,34.5944,131.82471,358.0,356.09,1.910000000000025,5a
JA/SN-181,Nabeikeyama,35.4845,132.85651,358.0,346.28,11.720000000000027,5a
